"","date","station_id","avg_bikes_available","avg_docks_available"
"1",2013-08-29,2,2.24143302180685,24.7585669781931
"2",2013-08-29,3,7.97507788161994,7.02492211838006
"3",2013-08-29,4,3.86604361370716,7.13395638629283
"4",2013-08-29,5,9.02959501557632,9.97040498442368
"5",2013-08-29,6,3.88785046728972,11.1121495327103
"6",2013-08-29,7,6.68380062305296,8.31619937694704
"7",2013-08-29,8,6.8613707165109,8.1386292834891
"8",2013-08-29,9,7.59190031152648,7.40809968847352
"9",2013-08-29,10,10.9143302180685,4.08566978193146
"10",2013-08-29,11,8.64018691588785,10.3598130841121
"11",2013-08-29,12,10.8271028037383,8.17289719626168
"12",2013-08-29,13,4.61526479750779,10.3847352024922
"13",2013-08-29,14,9.02647975077882,9.97352024922118
"14",2013-08-29,16,2,13
"15",2013-08-29,21,8.40342679127726,6.59657320872274
"16",2013-08-29,22,12.5046728971963,14.4953271028037
"17",2013-08-29,23,7.99221183800623,7.00778816199377
"18",2013-08-29,24,8,7
"19",2013-08-29,25,7.43302180685358,7.56697819314642
"20",2013-08-29,26,8.50934579439252,6.49065420560748
"21",2013-08-29,27,6.77258566978193,8.22741433021807
"22",2013-08-29,28,12.0747663551402,10.9252336448598
"23",2013-08-29,29,11.607476635514,11.392523364486
"24",2013-08-29,30,8.22429906542056,6.77570093457944
"25",2013-08-29,33,8.37383177570093,6.62616822429907
"26",2013-08-29,34,10.8629283489097,12.1370716510903
"27",2013-08-29,35,6.76635514018692,4.23364485981308
"28",2013-08-29,36,6.25233644859813,8.74766355140187
"29",2013-08-29,37,6.80685358255452,4.19314641744548
"30",2013-08-29,38,8,7
"31",2013-08-29,39,11.48753894081,7.51246105919003
"32",2013-08-29,41,5.34423676012461,9.65576323987539
"33",2013-08-29,42,7.71028037383178,7.28971962616822
"34",2013-08-29,45,6.14485981308411,8.85514018691589
"35",2013-08-29,46,11.3971962616822,3.60280373831776
"36",2013-08-29,47,10.1604361370717,8.83956386292835
"37",2013-08-29,48,10.8426791277259,4.15732087227414
"38",2013-08-29,49,5.99221183800623,13.0077881619938
"39",2013-08-29,50,8.78193146417446,14.2180685358255
"40",2013-08-29,51,7.66510903426791,11.3348909657321
"41",2013-08-29,54,6.09501557632399,8.90498442367601
"42",2013-08-29,55,12.7476635514019,10.2523364485981
"43",2013-08-29,56,11.6713395638629,7.32866043613707
"44",2013-08-29,57,4.17757009345794,10.8224299065421
"45",2013-08-29,58,9.19003115264798,9.80996884735202
"46",2013-08-29,59,7.0981308411215,15.9018691588785
"47",2013-08-29,60,9.32242990654206,5.67757009345794
"48",2013-08-29,61,9.26791277258567,13.7320872274143
"49",2013-08-29,62,7.56542056074766,11.4345794392523
"50",2013-08-29,63,4.63395638629283,14.3660436137072
"51",2013-08-29,64,13.291277258567,1.70872274143302
"52",2013-08-29,65,8.65420560747664,6.34579439252336
"53",2013-08-29,66,8.86915887850467,10.1308411214953
"54",2013-08-29,67,5.21495327102804,21.785046728972
"55",2013-08-29,68,4.27102803738318,14.7289719626168
"56",2013-08-29,69,2.15109034267913,20.8489096573209
"57",2013-08-29,70,12.1635514018692,6.83644859813084
"58",2013-08-29,71,11.8707165109034,7.12928348909657
"59",2013-08-29,72,19.3302180685358,3.66978193146417
"60",2013-08-29,73,4.94859813084112,10.0514018691589
"61",2013-08-29,74,12.6573208722741,6.34267912772586
"62",2013-08-29,75,7.34579439252336,11.6542056074766
"63",2013-08-29,76,7.16510903426791,11.8348909657321
"64",2013-08-29,77,11.8364485981308,11.1635514018692
"65",2013-08-30,2,5.18167701863354,21.8183229813665
"66",2013-08-30,3,5.02717391304348,9.97282608695652
